missionCode,missionName,regionCode
ABW,U.S. Mission to Aruba,WHA
AFG,U.S. Mission to Afghanistan,SCA
AGO,U.S. Mission to Angola,AF
ALB,U.S. Mission to Albania,EUR
AND,U.S. Mission to Andorra,EUR
ARE,U.S. Mission to United Arab Emirates,NEA
ARG,U.S. Mission to Argentina,WHA
ARM,U.S. Mission to Armenia,EUR
ASEAN,U.S. Mission to Association of Southeast Asian Nations,EAP
ATG,U.S. Mission to Antigua and Barbuda,WHA
AUS,U.S. Mission to Australia,EAP
AUT,U.S. Mission to Austria,EUR
AZE,U.S. Mission to Azerbaijan,EUR
BDI,U.S. Mission to Burundi,AF
BEL,U.S. Mission to Belgium,EUR
BEN,U.S. Mission to Benin,AF
BFA,U.S. Mission to Burkina Faso,AF
BGD,U.S. Mission to Bangladesh,SCA
BGR,U.S. Mission to Bulgaria,EUR
BHR,U.S. Mission to Bahrain,NEA
BHS,U.S. Mission to Bahamas,WHA
BIH,U.S. Mission to Bosnia and Herzegovina,EUR
BLR,U.S. Mission to Belarus,EUR
BLZ,U.S. Mission to Belize,WHA
BMU,U.S. Mission to Bermuda,WHA
BOL,U.S. Mission to Bolivia,WHA
BRA,U.S. Mission to Brazil,WHA
BRB,U.S. Mission to Barbados,WHA
BRN,U.S. Mission to Brunei ,EAP
BWA,U.S. Mission to Botswana,AF
CAF,U.S. Mission to Central African Republic,AF
CAN,U.S. Mission to Canada,WHA
CHE,U.S. Mission to Switzerland,EUR
CHL,U.S. Mission to Chile,WHA
CHN,U.S. Mission to China,EAP
CIV,U.S. Mission to Cote d'Ivoire,AF
CMR,U.S. Mission to Cameroon,AF
COD,U.S. Mission to Democratic Republic of the Congo (Kinshasa),AF
COG,U.S. Mission to Republic of the Congo (Brazzaville),AF
COL,U.S. Mission to Colombia,WHA
COM,U.S. Mission to Comoros,AF
CPV,U.S. Mission to Cabo Verde,AF
CRI,U.S. Mission to Costa Rica,WHA
CUB,U.S. Mission to Cuba,WHA
CUW,U.S. Mission to Curacao,WHA
CYM,U.S. Mission to Cayman Islands,WHA
CYP,U.S. Mission to Cyprus,EUR
CZE,U.S. Mission to Czech Republic,EUR
DEU,U.S. Mission to Germany,EUR
DJI,U.S. Mission to Djibouti,AF
