unitid,institution name,year,institution name,HD2013.Street address or post office box,HD2013.City location of institution,HD2013.State abbreviation,HD2013.ZIP code,HD2013.FIPS state code,HD2013.Geographic region,HD2013.Name of chief administrator,HD2013.Title of chief administrator,HD2013.General information telephone number,HD2013.Fax number,HD2013.Institution's internet website address,HD2013.Financial aid office web address,HD2013.Admissions office web address,HD2013.Online application web address,HD2013.Net price calculator web address,HD2013.Office of Postsecondary Education (OPE) ID Number,HD2013.OPE Title IV eligibility indicator code,HD2013.Employer Identification Number,HD2013.Multi-institution or multi-campus organization,HD2013.Identification number of multi-institution or multi-campus organization,HD2013.Name of multi-institution or multi-campus organization,HD2013.Sector of institution,HD2013.Level of institution,HD2013.Control of institution,HD2013.Highest level of offering,HD2013.Undergraduate offering,HD2013.Graduate offering,HD2013.Highest degree offered,HD2013.Degree-granting status,HD2013.Historically Black College or University,HD2013.Institution has hospital,HD2013.Institution grants a medical degree,HD2013.Tribal college,HD2013.Degree of urbanization (Urban-centric locale),HD2013.Fips County code,HD2013.County name,HD2013.Congressional district code,HD2013.Core Based Statistical Area (CBSA),HD2013.CBSA Type Metropolitan or Micropolitan,HD2013.Combined Statistical Area (CSA),HD2013.New England City and Town Area (NECTA),HD2013.Longitude location of institution,HD2013.Latitude location of institution,HD2013.Institution open to the general public,HD2013.Status of institution,HD2013.UNITID for merged schools,HD2013.Year institution was deleted from IPEDS,HD2013.Date institution closed,HD2013.Institution is active in current year,HD2013.Primarily postsecondary indicator,HD2013.Postsecondary institution indicator,HD2013.Postsecondary and Title IV institution indicator,"HD2013.Reporting method for student charges, graduation rates, retention rates and student financial aid",HD2013.Institutional category,HD2013.Carnegie Classification 2010: Basic,HD2013.Carnegie Classification 2010: Undergraduate Instructional Program,HD2013.Carnegie Classification 2010: Graduate Instructional Program,HD2013.Carnegie Classification 2010: Undergraduate Profile,HD2013.Carnegie Classification 2010: Enrollment Profile,HD2013.Carnegie Classification 2010: Size and Setting,HD2013.Land Grant Institution,HD2013.Carnegie Classification 2000,HD2013.Data Feedback Report comparison group category created by NCES,HD2013.Data Feedback Report - Institution submitted a custom comparison group,FLAGS2013.Status of IC component when institution was migrated,FLAGS2013.Revision status - Institutional Characteristics,FLAGS2013.Response status -  Institutional characteristics component,FLAGS2013.Type of imputation method Institutional Characteristics,FLAGS2013.Natural Disaster identification,HD2013.Institution name alias
100654,Alabama A & M University,2013,Alabama A & M University,4900 Meridian Street,Normal,Alabama,35762,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,"Dr. Andrew Hugine, Jr.",President,2563725000,2563725030,www.aamu.edu/,www.aamu.edu/Admissions/fincialaid/Pages/default.aspx,www.aamu.edu/admissions/pages/default.aspx,www.aamu.edu/Admissions/apply/Pages/default.aspx,galileo.aamu.edu/netpricecalculator/npcalc.htm,100200,Participates in Title IV federal financial aid programs,636001109,Institution is NOT part of a multi-institution or multi-campus organization,-2,,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship,Degree-granting,Yes,No,No,No,City: Midsize,"Madison County, AL",Madison County,"AL, District 5","Huntsville, AL Metro Area",Metropolitan Statistical Area,"Huntsville-Decatur-Albertville, AL CSA",Not applicable,-86.568502,34.783368,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Professions plus arts & sciences, some graduate coexistence","Doctoral, professional dominant","Full-time four-year, inclusive",High undergraduate,"Medium four-year, highly residential",Land Grant Institution,Doctoral/Research Universities--Intensive,"Masters Colleges and Universities (larger programs), public /5 of  5","Yes, institution submitted a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,AAMU
100663,University of Alabama at Birmingham,2013,University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,Alabama,35294-0110,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Ray L. Watts,President,2059344011,2059757114,www.uab.edu,www.uab.edu/students/paying-for-college,www.uab.edu/students/undergraduate-admissions,ssb.it.uab.edu/pls/sctprod/zsapk003_ug_web_appl.create_page,www.collegeportraits.org/AL/UAB/estimator/agree,105200,Participates in Title IV federal financial aid programs,636005396,Institution is part of a multi-institution or multi-campus organization,101050,The University of Alabama System,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,Yes,Yes,No,City: Midsize,"Jefferson County, AL",Jefferson County,"AL, District 7","Birmingham-Hoover, AL Metro Area",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL CSA",Not applicable,-86.80917,33.50223,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Balanced arts & sciences/professions, high graduate coexistence",STEM dominant,"Medium full-time four-year, selective, higher transfer-in",Majority undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (very high research activity), public /2 of 2","Yes, institution submitted a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,
100690,Amridge University,2013,Amridge University,1200 Taylor Rd,Montgomery,Alabama,36117-3553,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Michael Turner,President,3.34388E+13,3343873878,www.amridgeuniversity.edu,www.amridgeuniversity.edu/au_financialaid.html,www.amridgeuniversity.edu/au_admissions.html,https://www.amridgeuniversity.edu/Amridge/login.aspx?ReturnUrl=%2fAmridge%2fStudent%2fFormChoice.aspx,tcc.noellevitz.com/(S(miwoihs5stz5cpyifh4nczu0))/Amridge%20University/Freshman-Students,2503400,Participates in Title IV federal financial aid programs,237034324,Institution is NOT part of a multi-institution or multi-campus organization,-2,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,No,No,City: Midsize,"Montgomery County, AL",Montgomery County,"AL, District 2","Montgomery, AL Metro Area",Metropolitan Statistical Area,Not applicable,Not applicable,-86.17401,32.362609,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Arts & Sciences,"Balanced arts & sciences/professions, high graduate coexistence",Single doctoral (other field),"Medium full-time four-year, inclusive",Majority undergraduate,"Very small four-year, primarily nonresidential",Not a Land Grant Institution,Theological seminaries and other specialized faith-related institutions,"Baccalaureate Colleges--Arts & Sciences, private not-for-profit /7 of 7","No, institution did not submit a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,Southern Christian University |Regions University
100706,University of Alabama in Huntsville,2013,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,Alabama,35899,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Robert A. Altenkirch,President,2568246120,,www.uah.edu,finaid.uah.edu/,admissions.uah.edu/,register.uah.edu,finaid.uah.edu/,105500,Participates in Title IV federal financial aid programs,630520830,Institution is part of a multi-institution or multi-campus organization,101050,The University of Alabama System,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,No,No,City: Midsize,"Madison County, AL",Madison County,"AL, District 5","Huntsville, AL Metro Area",Metropolitan Statistical Area,"Huntsville-Decatur-Albertville, AL CSA",Not applicable,-86.63842,34.722818,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Professions plus arts & sciences, high graduate coexistence",STEM dominant,"Medium full-time four-year, selective, higher transfer-in",High undergraduate,"Medium four-year, primarily nonresidential",Not a Land Grant Institution,Doctoral/Research Universities--Intensive,"Research Universities (very high research activity), public /2 of 2","No, institution did not submit a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,UAH |University of Alabama Huntsville
100724,Alabama State University,2013,Alabama State University,915 S Jackson Street,Montgomery,Alabama,36104-0271,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Gwen Boyd,President,3342294400,3348346861,www.alasu.edu/email/index.aspx,www.alasu.edu/cost-aid/index.aspx/,www.alasu.edu/admissions/index.aspx,psadmin.alasu.edu:8501/psp/paprd_1/EMPLOYEE/HRMS/c/ASU_SS_NONID_MENU.ASU_SS_ONL_SECURE.GBL?PORTALPARAM_PTCNAV=ASU_LK_ONLINEAPP&EOPP.SCNode=EMP,www.alasu.edu/cost-aid/forms/calculator/index.aspx/,100500,Participates in Title IV federal financial aid programs,636001101,Institution is NOT part of a multi-institution or multi-campus organization,-2,,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,Yes,No,No,No,City: Midsize,"Montgomery County, AL",Montgomery County,"AL, District 7","Montgomery, AL Metro Area",Metropolitan Statistical Area,Not applicable,Not applicable,-86.295677,32.364317,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, some graduate coexistence",Single doctoral (education),"Full-time four-year, inclusive",High undergraduate,"Medium four-year, primarily residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /5 of  5","Yes, institution submitted a custom comparison group","Complete, final lock applied",Submitted revised data,Respondent,Not applicable,No,
100733,University of Alabama System Office,2013,University of Alabama System Office,401 Queen City Ave,Tuscaloosa,Alabama,35401,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Robert Witt,Chancellor,2053489731,2053485206,www.uasystem.ua.edu,,,,www.uasystem.ua.edu,800400,Branch campus of a main campus that participates in Title IV,636001138,Institution is part of a multi-institution or multi-campus organization,101050,The University of Alabama System,Administrative Unit,Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,Not applicable,No,City: Small,"Tuscaloosa County, AL",Tuscaloosa County,"AL, District 7","Tuscaloosa, AL Metro Area",Metropolitan Statistical Area,Not applicable,Not applicable,-87.560858,33.212525,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Not applicable,Not applicable,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Not a Land Grant Institution,{Item not available},Not applicable - Institution is inactive or adminstrative unit,Not applicable,"Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,
100751,The University of Alabama,2013,The University of Alabama,739 University Blvd,Tuscaloosa,Alabama,35487-0166,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Dr. Judith L. Bonner,President,2053486010,2053487208,www.ua.edu/,financialaid.ua.edu,gobama.ua.edu,apply.ua.edu,oira.ua.edu,105100,Participates in Title IV federal financial aid programs,636001138,Institution is part of a multi-institution or multi-campus organization,101050,The University of Alabama System,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,No,No,City: Small,"Tuscaloosa County, AL",Tuscaloosa County,"AL, District 7","Tuscaloosa, AL Metro Area",Metropolitan Statistical Area,Not applicable,Not applicable,-87.545766,33.2144,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Research Universities (high research activity),"Professions plus arts & sciences, high graduate coexistence",Comprehensive doctoral (no medical/veterinary),"Full-time four-year, selective, lower transfer-in",High undergraduate,"Large four-year, primarily residential",Not a Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (high research activity), public/1of 2","Yes, institution submitted a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,
100812,Athens State University,2013,Athens State University,300 N Beaty St,Athens,Alabama,35611,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Robert Glenn,President,2562338100,,www.athens.edu,www.athens.edu,www.athens.edu,www.athens.edu,24.athens.edu/apex/prod8/f?p=174:1:3941357449598491,100800,Participates in Title IV federal financial aid programs,630701340,Institution is NOT part of a multi-institution or multi-campus organization,-2,,"Public, 4-year or above",Four or more years,Public,Bachelor's degree,Undergraduate degree or certificate offering,No graduate offering,Bachelor's degree,Degree-granting,No,No,No,No,Town: Fringe,"Limestone County, AL",Limestone County,"AL, District 5","Huntsville, AL Metro Area",Metropolitan Statistical Area,"Huntsville-Decatur-Albertville, AL CSA",Not applicable,-86.96514,34.805625,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Diverse Fields,"Professions plus arts & sciences, no graduate coexistence",Not applicable,Higher part-time four-year,Exclusively undergraduate four-year,"Small four-year, primarily nonresidential",Not a Land Grant Institution,Baccalaureate Colleges--General,"Baccalaureate Colleges--Diverse Fields, public and enrollment /1 of 2","Yes, institution submitted a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,
100830,Auburn University at Montgomery,2013,Auburn University at Montgomery,7440 East Drive,Montgomery,Alabama,36117-3596,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,John G. Veres III,Chancellor,3342443000,3342443920,www.aum.edu,www.aum.edu/admissions/financial-information/financial-aid,www.aum.edu/admissions,www.aum.edu/admissions/step-by-step-guide-to-apply,www.aum.edu/admissions/financial-information/price-estimator-calculator,831000,Participates in Title IV federal financial aid programs,636000724,Institution is part of a multi-institution or multi-campus organization,101040,Auburn University,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship,Degree-granting,No,No,No,No,City: Midsize,"Montgomery County, AL",Montgomery County,"AL, District 2","Montgomery, AL Metro Area",Metropolitan Statistical Area,Not applicable,Not applicable,-86.177351,32.369939,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Professions plus arts & sciences, some graduate coexistence",Postbaccalaureate with arts & sciences (education dominant),"Medium full-time four-year, selective, higher transfer-in",High undergraduate,"Medium four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /5 of  5","Yes, institution submitted a custom comparison group","Complete, final lock applied",Submitted revised data,Respondent,Not applicable,No,AUM|Auburn University Montgomery|Auburn University at Montgomery|Auburn Montgomery
100858,Auburn University,2013,Auburn University,"Auburn, Alabama",Auburn University,Alabama,36849,Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Jay Gogue,President,3348444000,,www.auburn.edu,www.auburn.edu/administration/business_office/finaid/,www.auburn.edu/admissions/,www.auburn.edu/admissions/,www.auburn.edu/admissions/money-matters.html,100900,Participates in Title IV federal financial aid programs,636000724,Institution is part of a multi-institution or multi-campus organization,101040,Auburn University,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,Yes,No,City: Small,"Lee County, AL",Lee County,"AL, District 3","Auburn-Opelika, AL Metro Area",Metropolitan Statistical Area,"Columbus-Auburn-Opelika, GA-AL CSA",Not applicable,-85.492409,32.600201,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Research Universities (high research activity),"Professions plus arts & sciences, high graduate coexistence",Comprehensive doctoral with medical/veterinary,"Full-time four-year, more selective, higher transfer-in",High undergraduate,"Large four-year, primarily nonresidential",Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (high research activity), public/1of 2","Yes, institution submitted a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,
